time;fps;minFps;maxFps;ram;vram;activeChunks;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
86.9894;50;46;51;2753;2302;4489;0;0;0;0;0;0;0;0;
87.9976;46;43;47;2754;2302;4489;0;0;0;0;0;0;0;0;
88.9999;48;43;49;2754;2302;4489;0;0;0;0;0;0;0;0;
90.0015;50;46;51;2755;2302;4489;0;0;0;0;0;0;0;0;
91.0157;52;47;52;2755;2302;4489;0;0;0;0;0;0;0;0;
92.03;52;47;52;2756;2302;4489;0;0;0;0;0;0;0;0;
93.04;52;48;52;2756;2302;4489;0;0;0;0;0;0;0;0;
94.0587;52;47;52;2757;2302;4489;0;0;0;0;0;0;0;0;
95.0718;48;45;50;2757;2302;4489;0;0;0;0;0;0;0;0;
96.0757;46;42;47;2758;2302;4489;0;0;0;0;0;0;0;0;
97.0841;49;43;50;2758;2302;4489;0;0;0;0;0;0;0;0;
