time;fps;minFps;maxFps;ram;vram;activeChunks;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
88.58;44;38;47;1153;2043;4489;0;448;448;0;112;112;0;0;
89.5838;44;38;47;1153;2043;4489;0;445;444;0;111;111;0;0;
90.5904;44;39;48;1154;2043;4489;0;447;448;0;112;112;0;0;
91.6022;44;40;46;1154;2043;4489;0;448;448;0;112;112;0;0;
92.6052;41;35;46;1155;2043;4489;0;412;412;0;103;103;0;0;
93.6131;36;31;40;1155;2043;4489;0;360;360;0;90;90;0;0;
94.6341;38;33;41;1155;2043;4489;0;381;380;0;95;95;0;0;
95.6378;40;35;42;1156;2043;4489;0;399;404;0;100;101;0;0;
96.6416;41;37;44;1156;2043;4489;0;416;412;0;104;103;0;0;
97.656;39;35;41;1157;2043;4489;0;388;392;0;97;98;0;0;
98.6737;41;36;43;1157;2043;4489;0;412;408;0;103;102;0;0;
99.675;42;38;44;1158;2043;4489;0;420;420;0;105;105;0;0;
100.683;45;40;45;1158;2043;4489;0;28;32;0;7;9;0;0;
101.684;45;43;45;1159;2043;4489;0;0;0;0;0;0;0;0;
102.685;45;43;45;1159;2043;4489;0;0;0;0;0;0;0;0;
103.691;45;43;45;1160;2043;4489;0;0;0;0;0;0;0;0;
104.692;45;42;45;1160;2043;4489;0;0;0;0;0;0;0;0;
105.698;45;41;45;1161;2043;4489;0;0;0;0;0;0;0;0;
106.705;45;43;45;1161;2043;4489;0;0;0;0;0;0;0;0;
107.707;44;42;45;1161;2043;4489;0;0;0;0;0;0;0;0;
108.723;45;41;45;1162;2043;4489;0;0;0;0;0;0;0;0;
109.724;45;43;45;1162;2043;4489;0;0;0;0;0;0;0;0;
110.726;45;43;45;1163;2043;4489;0;0;0;0;0;0;0;0;
111.742;45;27;45;1164;2045;4492;4;0;0;3;0;0;1;0;
112.779;27;18;28;1181;2165;4528;62;16;12;36;3;3;35;0;
113.807;27;15;27;1195;2165;4528;56;8;0;0;2;0;0;0;
114.845;27;18;27;1210;2165;4629;58;7;13;101;2;3;3;0;
115.867;27;22;27;1225;2165;4629;55;7;0;0;2;0;0;0;
116.9;24;14;26;1238;2173;4733;52;6;13;104;1;3;101;0;
