time;fps;minFps;maxFps;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
0;0;0;0;0;0;0;0;0;0;0;0
2.01331;51;8;83;0;451;451;604;113;113;601;3
3.05305;37;6;75;0;192;192;739;48;47;625;2
4.09826;26;4;66;0;248;240;657;62;60;772;1
5.15051;38;2;70;0;348;356;706;87;90;613;1
6.1633;50;8;64;0;508;508;733;127;127;824;0
7.16674;19;2;65;0;193;193;518;48;48;516;1
8.18321;56;42;66;0;543;543;116;136;135;135;0
9.19006;55;45;63;0;544;536;0;136;134;0;0
10.1957;54;43;60;0;532;540;0;133;136;0;0
11.2079;54;45;60;0;536;532;0;134;132;0;0
12.2252;53;45;59;0;528;528;0;132;132;0;0
13.2447;52;41;57;0;508;512;0;127;128;0;0
14.2628;49;40;53;0;484;484;0;121;121;0;0
15.2704;49;43;53;0;492;492;0;123;123;0;0
16.2813;50;44;54;0;500;500;0;125;126;0;0
17.2981;50;43;53;0;500;500;0;125;124;0;0
18.3164;49;43;52;0;496;492;0;124;123;0;0
19.3418;45;37;50;0;452;456;0;113;114;0;0
20.3573;42;37;45;0;404;404;0;101;101;0;0
21.3729;44;38;47;0;440;440;0;110;110;0;0
22.3901;46;39;49;0;464;460;0;116;115;0;0
23.4048;47;40;50;0;473;472;0;118;118;0;0
24.4056;46;40;49;0;459;464;0;115;116;0;0
25.4118;45;39;48;0;453;452;0;113;113;0;0
26.4291;41;35;44;0;411;412;0;103;103;0;0
27.4325;40;34;44;0;400;400;0;100;100;0;0
28.4754;23;1;45;0;220;215;0;55;54;0;1
29.4856;41;7;48;0;0;0;0;0;0;0;0
30.4976;35;7;49;0;64;69;0;16;17;0;0
31.5068;45;39;47;0;456;456;0;114;114;0;0
32.5286;45;39;47;0;456;452;0;114;113;0;0
33.531;42;35;45;0;428;428;0;107;107;0;0
34.5513;39;35;41;0;368;372;0;92;93;0;0
35.5652;40;35;43;0;400;400;0;100;100;0;0
36.5798;42;37;44;0;428;424;0;107;106;0;0
37.593;43;38;44;0;436;440;0;109;111;0;0
38.6103;43;38;45;0;453;452;0;113;113;0;0
39.614;41;37;44;0;411;412;0;103;102;0;0
40.6301;37;32;40;0;372;368;0;93;92;0;0
41.6576;38;34;40;0;380;380;0;95;95;0;0
42.6789;41;35;43;0;300;304;0;75;77;0;0
43.6843;44;41;45;0;0;0;0;0;0;0;0
44.7038;46;43;45;0;0;0;0;0;0;0;0
45.7231;46;43;45;0;0;0;0;0;0;0;0
46.7255;44;41;45;0;0;0;0;0;0;0;0
47.7281;40;37;42;0;0;0;0;0;0;0;0
48.7413;41;38;42;0;0;0;0;0;0;0;0
49.7418;43;41;44;0;0;0;0;0;0;0;0
50.7528;45;43;45;0;0;0;0;0;0;0;0
51.7736;46;44;45;0;0;0;0;0;0;0;0
52.7908;45;41;45;0;0;0;0;0;0;0;0
53.8077;41;38;43;0;0;0;0;0;0;0;0
54.8188;38;34;39;0;260;256;134;65;63;134;0
55.8271;39;34;41;0;380;384;67;95;97;64;0
56.8334;39;35;42;0;388;388;202;97;96;204;0
57.845;14;1;39;0;144;144;41;36;36;40;1
58.8623;39;34;41;0;390;385;121;97;96;122;0
59.8829;38;34;39;0;382;383;169;96;96;167;0
60.9109;36;28;39;0;366;365;82;90;90;84;0
61.9152;35;30;38;0;340;345;29;84;85;27;0
62.9232;41;34;47;0;399;399;48;94;94;50;0
63.9423;48;40;54;0;484;480;57;121;120;58;0
64.9557;55;44;60;0;346;350;57;86;88;57;0
65.9565;58;48;62;0;305;305;53;75;74;52;0
66.9695;61;52;64;0;232;232;46;58;58;46;0
68.5991;57;1;63;0;288;288;52;71;72;53;1
69.6083;56;10;66;0;180;173;59;43;41;58;0
70.6223;64;50;69;0;313;320;58;79;81;57;0
71.6303;65;46;70;0;300;292;65;73;70;63;0
72.6409;64;52;70;0;361;369;62;87;90;65;0
73.6446;64;50;70;0;221;217;75;55;53;73;0
74.6606;57;44;65;0;285;289;57;71;73;60;0
75.6622;57;40;66;0;255;246;56;62;59;52;0
76.6631;62;47;71;0;298;298;75;72;72;78;0
77.6755;68;46;74;0;208;213;67;52;53;66;0
78.6774;69;54;77;0;312;316;66;77;79;68;0
79.6968;25;1;78;0;144;144;37;35;35;28;1
80.7056;56;12;78;0;256;256;58;63;63;67;0
81.7073;70;48;78;0;284;284;87;70;70;85;0
82.7137;64;50;75;0;402;394;90;98;95;92;0
83.7145;57;40;70;0;329;337;100;82;85;100;0
84.7175;52;41;59;0;293;288;115;70;68;106;0
85.7214;48;35;58;0;373;378;123;91;93;124;0
86.7417;48;38;55;0;404;396;216;101;98;223;0
87.749;47;39;53;0;376;384;268;94;97;261;0
88.7549;45;37;52;0;369;369;266;90;90;267;0
90.3161;40;1;50;0;349;340;254;86;83;236;1
91.3271;42;8;53;0;402;411;260;101;104;276;0
92.3441;48;39;54;0;492;492;288;123;123;294;0
93.3542;49;42;55;0;509;509;244;127;127;238;0
94.3563;49;41;54;0;507;507;46;127;126;55;0
95.3616;48;42;53;0;500;496;0;125;124;0;0
