time;fps;minFps;maxFps;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
96.3649;44;37;50;0;440;444;0;110;111;0;0
97.3706;39;34;44;0;392;388;0;98;97;0;0
98.3894;42;36;46;0;420;424;0;105;107;0;0
99.3926;44;39;48;0;444;444;0;111;110;0;0
100.395;46;40;49;0;464;460;0;116;115;0;0
101.406;46;40;49;0;472;476;0;118;120;0;0
102.411;45;32;48;0;461;461;0;115;115;0;0
103.432;44;13;47;0;155;155;0;39;39;0;0
104.455;43;39;44;0;0;0;0;0;0;0;0
105.463;42;40;43;0;0;0;0;0;0;0;0
106.483;46;43;46;0;0;0;0;0;0;0;0
107.493;48;46;48;0;0;0;0;0;0;0;0
108.496;49;46;49;0;0;0;0;0;0;0;0
