time;fps;minFps;maxFps;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
0;0;0;0;0;0;0;0;0;0;0;0
2.01553;45;8;98;0;561;564;860;140;140;936;3
3.04811;14;4;72;0;384;388;728;96;97;726;2
4.07263;22;3;73;0;593;584;665;148;146;666;1
5.08234;21;3;66;0;552;592;661;138;148;644;1
6.44161;30;2;63;0;848;859;1033;212;215;801;1
7.46986;27;3;57;0;851;809;285;213;202;547;0
8.47406;34;22;58;0;956;952;0;239;238;0;0
9.50679;34;22;56;0;960;960;0;240;240;0;0
10.5149;33;21;56;0;901;947;0;225;237;0;0
11.5393;33;22;53;0;955;909;0;239;227;0;0
12.5576;33;22;52;0;909;955;0;227;239;0;0
13.5747;32;21;51;0;900;900;0;225;225;0;0
14.5836;31;20;49;0;911;865;0;228;216;0;0
15.5918;32;22;49;0;857;903;0;214;226;0;0
16.6151;31;20;49;0;899;853;0;225;213;0;0
17.621;31;20;47;0;845;891;0;211;223;0;0
18.661;31;20;46;0;895;849;0;224;212;0;0
19.6698;30;21;46;0;844;844;0;211;211;0;0
20.6749;30;20;45;0;856;860;0;214;215;0;0
21.6855;31;22;45;0;877;919;0;219;230;0;0
22.7049;37;21;45;0;461;461;0;116;116;0;0
23.7261;46;43;45;0;0;0;0;0;0;0;0
24.7286;45;42;45;0;0;0;0;0;0;0;0
25.7375;44;41;45;0;0;0;0;0;0;0;0
26.7506;41;38;41;0;0;0;0;0;0;0;0
27.7676;43;40;43;0;0;0;0;0;0;0;0
28.7867;45;43;45;0;0;0;0;0;0;0;0
29.8107;36;6;45;0;0;0;41;0;0;21;0
30.8712;15;1;44;0;260;260;127;65;65;113;1
31.8815;29;19;42;0;858;812;166;214;202;200;0
32.9068;29;18;41;0;821;867;201;205;217;201;0
33.9446;31;20;41;0;736;689;201;184;172;201;0
34.9459;28;18;39;0;655;656;201;164;164;177;0
35.9716;25;17;35;0;681;727;134;170;182;158;0
36.9841;26;17;38;0;644;644;201;161;161;161;0
38.2307;17;1;42;0;440;439;67;110;110;107;1
39.2481;43;6;53;0;0;0;0;0;0;0;0
40.2487;55;50;57;0;0;0;0;0;0;0;0
41.2715;43;22;58;0;651;607;660;163;151;639;0
42.2723;32;21;54;0;917;916;134;229;229;155;0
43.3187;30;18;49;0;860;860;201;214;214;201;0
44.3192;29;19;47;0;797;843;134;200;212;134;0
45.7458;21;1;47;0;582;561;199;145;140;199;1
46.7528;43;8;52;0;0;0;0;0;0;0;0
47.7665;55;48;56;0;0;0;0;0;0;0;0
48.7831;48;21;57;0;394;373;662;98;92;662;0
49.7946;33;21;54;0;954;996;143;239;250;143;0
50.8013;31;20;53;0;915;880;144;229;219;125;0
51.8346;32;19;51;0;954;946;182;238;236;201;0
53.1402;20;1;49;0;567;562;132;141;141;115;1
54.1546;26;7;49;0;749;751;336;188;188;353;0
55.1658;32;21;49;0;919;925;96;229;231;96;0
56.187;30;20;47;0;861;854;172;216;213;171;0
57.2024;28;19;44;0;810;814;175;202;203;164;0
58.2119;28;19;44;0;807;807;187;202;202;190;0
59.2405;28;18;44;0;791;788;38;198;198;47;0
60.2622;42;20;44;0;66;112;0;17;29;0;0
61.2698;44;42;44;0;0;0;0;0;0;0;0
62.2841;9;1;46;0;0;0;0;0;0;0;1
63.3029;48;44;48;0;0;0;0;0;0;0;0
64.3055;49;47;50;0;0;0;0;0;0;0;0
65.319;50;44;50;0;0;0;0;0;0;0;0
66.3284;50;48;50;0;0;0;0;0;0;0;0
67.3355;50;48;50;0;0;0;0;0;0;0;0
68.3366;49;47;49;0;0;0;0;0;0;0;0
69.3567;46;42;47;0;0;0;0;0;0;0;0
70.3672;43;40;44;0;0;0;0;0;0;0;0
71.3784;46;43;46;0;0;0;0;0;0;0;0
72.3818;48;46;49;0;0;0;0;0;0;0;0
73.3976;50;47;50;0;0;0;0;0;0;0;0
74.4053;50;48;50;0;0;0;0;0;0;0;0
